label,message
spam,100TL BONUS! 15 HAZiRANA KADAR 4440333'U ARAYIP 1-3-5 TUSLAYARAK FATURA TALiMATI VERiN.1 FATURAYA 15.2 FATURAYA 30.4 FATURAYA 50.6 FATURAYA 100TL BONUS KAZANIN.
spam,CEP-T PARACARD!HARCADIKCA BONUS. KONUSTUKCA DAKiKA KAZANDIRAN TEK KART.USTELiK iLK YUKLEMEDE 200 DK HEDiYE!TUM TURKCELL iLETiSiM MERKEZLERiNDE.PARACARD.COM.TR
ham,İstatistik sınavında en son hangi konu çıkıcak biliyormusun?
spam,Maximum Kart'tan kadinlara ozel 5 kat MaxiPuan firsati! 8 Mart Dunya Kadinlar Gununde tum alisverislerinizden 4 kat extra MaxiPuan kazanin.Bilgi:maximum.com.tr
ham,haji eve ekmek lazim mi ?
spam,gnctrkcll'li. Eurolingua'da 60 saatlik (1kur) Ingilizce ya da Almanca Egitimi 360 TL yerine sadece 99 TL! HEmen GNCTEKLIF.COM'a gir. satin al!
ham,Kanka Yarin piknik işi noldu ?
ham,Ben arabayi kapinin onune biraktim carsiya gidiyorum annelere soylersin.
ham,Yarın spor salonuna gidecek misin? Ben gideceğim.
ham,Danisman kodunuz 7458963 sifreniz:741987 yeni kayitlarimiza özel hosgeldiniz programina katilmak icin 21 gün icinde toplam 100  BP siparis vermeyi unutmayiniz(2)
ham,hic haberim yok benim
ham,ben mert bak bu da benim yeni numaram dayanamadim digernin de kont btmsti de aldm smdi acldi artk bundaym tamam mi. gorusuruz.
ham,Akşam yemeği için ne pişireyim?
spam,Internet paketi simdi %50 daha ucuz! 3 ay boyunca ayda sadece 5 TLye internete baglanmak icin 3 AY yazip 2222ye gonderin. internetin keyfini doya doya cikarin
spam,23 Subat'a kadar Is Bankasi'ndan TTNET faturaniz icin talimat verin. cekilis ile Golf marka araba. Paris seyahati ya da Nokia Booklet kazanin! 4440202
ham,**5992 nolu Kredi Karti Ekstre Borcunuz 1.401.67 TL Asgari Odeme Tutari 281.00 TL ve Son Odeme Tarihi 06.06.2011 dir.
ham,tamam canım yine haberleşiriz
spam,VAKIFBANKTAN ANNELER GUNUNE OZEL UYGUN FAIZ ORANI VE 11 AY VADE SECENEGIYLE 5000-TL TAKSITLI IHTIYAC KREDISI. DETAYLI BILGI ICIN www.vakifbank.com.tr
spam,Tebrikler 500 TL bonus kazandiniz hemen tiklayin
spam,Ayda SADECE 1TL ye 50 sarkiyi mp3 formatinda cep telefonuna veya www.gncplay.com dan bilgisayarina indirmek icin MUZIK yaz 2222 ye gonder. Bu firsati kacirma!
ham,samet benim maile baksana göndermişler mi bileti
ham,PÜSKEVİT Çılgınlığı Afrikaya da Sıçradı :)
ham,almanca.
spam,Numarasini Turkcell faturaliya tasiyana SADECE 29TLye heryone 600dk konusma ve 33 milyon Turkcelliyle haftada 2 Gun BEDAVA!Sizi Turkcell noktalarina bekliyoruz
ham,Sipariş kargoya verildi takip numarası: TR123456789
ham,abi işim var o saatte tam
ham,Cnm ya nerdesin bitmedi mi daha bi mesaj atsan merak ettim
ham,bugün 08:00-20:00 saatleri arasında vodafon yönünde limitsiz konuşma hattınıza yuklendi.cola turka&çamlıca portakalı şişelerinde hergün limitsiz konuşma var.
ham,Abi şimdi kargoya geldik. paketin ağırlığı fazlaymış. transkriptleri yollamıycaz cuma orda olurmuş belgeler
ham,Otobüse bindim
ham,Genç Tema günaydın. bugün ki fidan dikimini 1 saat erkene aldık saat 12 de tema evinde görüşmek üzere. Eğlenceli ve verimli bir etkinlik olması dileğiyle:)
ham,kacinci kat
spam,FIRSAT yazin 2222'e ucretsiz gonderin. hem gunluk 30 dk konusma kazanin hem de Turkcell CepteFirsat ile markalarin FIRSATLARINI ilk siz ogrenin!
ham,nerdesin
ham,Çıktık kanka geç döncem 1 saatte falan bitirmeye çalışcaz Sinemin apartında çalışcaz.
ham,Sayin musterimiz 08.06.2011 son odeme tarihli faturaniz 32.6TLdir.Detayli bilgi icin 7578888i ucretsiz arayiniz.Bir sonraki fatura kesim tarihi 25.06.2011dir
spam,TEB Banka Kartiniz konusturuyor! 22 Mart - 26 Nisan arasi TEB banka kartinizla toplamda en az 150TL harcama yapin.gunluk 75 dk konusma kazanin! Bilgi:teb.com.tr
ham,Saat 9 gibi olabilir.
spam,Turkiyenin VINN?i sadece Turkcellde!Ilk ve tek 3 ay sozlesmeli 3G modem VINN. 39TL on odeme ve 4GB internet ile tum vergiler dahil ayda sadece 39TL!
ham,ben yatiyorum simdi lakin korkuyorum üsücem dye
ham,Yurda kacta gitceksin.gel bi burger yapalim
ham,**5992 nolu Kredi Karti Ekstre Borcunuz 1.549.00 TL Asgari Odeme Tutari 310.00 TL ve Son Odeme Tarihi 07.03.2011 dir.
spam,KATLA YAZIP 1616'YA GONDERIN TL'NIZI KATLAYIN! 5TL'NIZ ILK KATILIMDA 50TL.2.DE 100TL.3.DE 150TL.4.DE 200TL OLSUN.1 HAFTA BOYUNCA TARIFENIZDEN SEBEKEICI KONUSUN
ham,Audi burda:)
ham,ins :) sabırsızlıkla bekliyorum.
ham,Tmm bn halltmye calsrm ogldn snra.bnkada sorun var snrm sbh ozgun de yapamams.grsz gokhan
spam,BOYNER magazasinda BOURJOIS markasinda 18-19-20 Mart tarihlerinde 3 AL 2 ODE kampanyasi baslamistir. Sizleri standimiza bekliyoruz. Bourjois uzmani Filiz Abay
spam,gnctrkcllli.sevilen sanatcilarin muzik marketlerde 15TL degerindeki albumleri gncplay.com da SADECE 2TL!Hem de MP3 formatinda!gncplay.com a gir firsati yakala
ham,seni geldim bulamadim
ham,Tamam kanka arabaylamı gelcen? Ona göre Emrula haber vercem.
ham,İnternet Programming ödevinin ilk sorusu harbiden çok zor ya:)
ham,Hadi ya tmm :S
ham,Arzs fslri hrccz hdi gl..
ham,Yaaa güvenlgi arayp 31nde yatirabliomuyz bi sorarmsn unuttm bn
ham,sn söle ona yanindysa..Bence bölesi daha hayirli oldu .Iyi gecelr sizede slm söle
spam,"HER GOL BONANZA'DA 50 FRESPIN KAZANDIRIYOR
Fenerbahce Kazanir: 2.35 ORAN
KG VAR: 2.11
Kaliteli Bahis icin Pusula'ya davetlisin
https://t2m.io/pusulaco"
spam,Kargo şirketinizden bilgi: Paketiniz teslim edilemedi. Adres guncellemesi icin: kargo-tr.net/guncelle
spam,Mudo da kisa gunun kari kampanyasi basladi! Secili hazirgiyim sezon urunlerinde gecerli %30 indirim  sizi bekliyor. Son gun 4 Nisan!
spam,VakifBank Worldcardla 1 Subat-14 Mart arasinda Shell de yapacaginiz 4 adet 100TL ve uzeri alisveris. 15-25 Mart arasi Shell de 40 TL indirim kazandiriyor!
spam,Maximum Kart'la 1-10 Subatta 1000TL alisveris yapin.12-13-14 Subatta kampanyali sektorlerde yapacaginiz alisverislerden %10MaxiPuan kazanin!Bilgi:maximum.com.tr
ham,Işin yoksa langırtlı kısma uğrar mısın
ham,calıstınmı barı sınavlara
ham,ulubey kutuphaneye gelecek misin
ham,4-5 arasi halisaya aldik gelcekmsn
ham,Canım iyiyim uyukluyodum işte sen napıyosun?
spam,Mudo da kisa gunun kari kampanyasi! Secili hazirgiyim sezon urunlerinde gecerli %30 indirim sizi bekliyor. Sadece1 Mart'a ozel bu firsati kacirmayin!
spam,Hesabiniz guvenlik nedeniyle askiya alindi giris yapin
ham,Yok abi sen gt.Ben yatm birz sabah erken caliscm.
spam,Faturali 15'lik Tarife ile ayda sadece 15 TL ye her one 150dk. her yone 150SMS! Ustelik tarifeye gelen herkesle konusmak da bedava. Avea bayilerine bekliyoruz.
spam,gnctrkcllliye SONY PSP 3004te cilgin fiyat basladi!sadece 349TL hem de yaninda 1 oyun hediye!bu firsati kacirip uzulme.sen sectin gnctrkcll yapti.gnctrkcll.com
spam,gnctrkcll'li. Acelya cicek evin'nden aski ve tutkuyu ifade eden 3 adet birinci sinif kirmizi gul 38 TL yerine 19 TL!HEmen GNCTEKLIF.COMA gir. satin al!
ham,Sifrenizi kimseyle paylasmayiniz
spam,Migros.Tansas.Sok.5M.Macro.da 90**871 kartinizla 31Marta kadar 300TL harca. 15MONEY kazan! Bu hedefi yap.Shell'de 100TL harca. 5TL YAKIT kazan.1 Money=1 TL
spam,Derimod'da tum ayakkabi ve cantalar etiketin yarisi fiyatlar ve CardFinans'a ozel 10 Taksit firsati ile sizleri bekliyor! Keyifli alisverisler!
ham,aksam ruyamda senigordum yanima gelıyordun demek ki cok ozledim seni.)
spam,Yarinin buyukleri. gelecegimizi emanet ettigimiz cocuklarimizin ve tum ulusumuzun 23 Nisan Ulusal Egemenlik ve Cocuk Bayramini kutlariz.
spam,1000TL'ye kadar BEDAVA Kredi Firsati! CardFinans'tan ucretsiz Otomatik Fatura Odeme talimati verin. kredi seceneklerimizden hemen yararlanin. Bilgi icin 4440900
spam,Istanbul Shopping Fest Divarese vitrinini oylamk icin SF6. ad soyad. cep telefonu ve adresinizi 7273'e atin. Bosphorus City'den ev kazanma sansi yakalayin!
ham,ben cektırcem notları alfe bırakırım
ham,Vakifbank WebSubem girisi icin tek kullanimlik sifreniz: 160038 . Sifreniz 3 dk gecerlidir. Tarih: 14.02.2011 Saat: 13:53
ham,lan neden cevap vermiyorsun mesajima
ham,eskişehir eğitim dernekleri verdi. arkadaşımın biri adımı yazmışti. beraber konferansa katıldık. ve aldık
spam,Boyner magazalarinda %70'e varan indirimleri kacirmayin! Ustelik CardFinans ile simdi alin. 6 taksitle 2 ay sonra odemeye baslayin! Son gun 28 Subat!
ham,Çocuk okula gitmek istemedi biraz zor sabah oldu.
ham,tamm baba ben eve gidiyorum. dönüşte annemi de alır gelirsin.
ham,Marketten ekmek alırken su da al lütfen.
spam,PTT Kargo: Paketiniz depoda bekliyor. 2 TL odeme yapılması gerekmektedir: ptt-kargo.xyz/odeme
ham,Guray bna gondrmssn:) yapma bi daha bole hatalar:p
spam,Mudo dan kacirilmayacak firsat ! Exclusive Cardinizla aldiginiz mobilyalarda kisa bir sure icin extra avantajlar sizi bekliyor.
spam,gnctrkcllli!Tamsil  Kuru Temizleme'de 3 alternatiften (3 Gomlek.2  Ceket veya 1Takim elbise) biri 8.10 TL.TAMSIL yaz 8073'e gonder.SMS ucreti 50krs. GNCTEKLIF.COM
spam,VICHY'DE %40 INDIRIM GUNLERINE DAVETLISINIZ.SADECE 18-19 MART TARIHLERINDE.AKSOY ECZANESI TEL:2312840
ham,Yeni telefon aldım numaramı kaydet.
spam,1-30 Nisan arasi Maximum Kart'inizla toplam 1000TL alisveris yapin. PUAN yazip kartinizin son 6 hanesi ile 4402ye gonderin.40TL ekstra MaxiPuan kazanin.4440202
ham,Evdeyim birazdan çıkarım.
ham,VakifBank WebSubem girisi icin tek kullanimlik sifreniz: 066407 . Sifreniz 3 dk gecerlidir. Tarih: 14.06.2011 Saat: 20:35
spam,Değerli müşterimiz kredi başvurunuz onaylandı! 50000 TL kredi icin: kredi-anlik.com/al
spam,VakifBank Worldcardla 31 Temmuz a  kadar Shell de yapacaginiz 4 adet 100TL ve uzeri alisveris size 1-10 Agustos arasi Shell de 40TL indirim kazandiriyor!
ham,Ahmet de gelecek mi?
spam,Giris adresimiz degisti guncel link profilde
spam,Siz Turkcell Kamu Tarifelilere ozel YASASIN KAMU. size ozel servisler ve indirim avantajlariyla geldi.KAMU yazip 222ye ucretsiz gonderin.YASASIN KAMUya uye olun
ham,zilde ne yaziyor
spam,KIGILI'DAN SON SANS! GOMLEK. PANTOLON VE TRIKO 39 TL. MONT-KABAN 99 TL. TAKIM ELB 179 TL! INANILMAZ FIYATLARA EKSTRA HER 250 TL'LIK ALISVERISE 50 TL HEDIYE CEKI!
spam,Turkcell Cep Anayasasi Madde 1:Mevcut tarifenizin detaylarini ogrenip.sizin ihtiyaclariniza gore belirledigimiz uygun teklifler icin 757222 yi ucretsiz arayin!
spam,Hayırlı günler! IBAN numaranızı gonderin 10000 TL yardım fonu transfer edilecektir.
ham,tamamdır.
spam,Paketiniz yolda! MNG Kargo 3.50 TL gümrük vergisi odemesi gerekiyor: mng-odeme.net
ham,kimseye soyleme yanliz sana soyledim
ham,Başkan biz geç kaldık kusura bakma çıktık yola görüşemedik hakkını helal et mersine gelirsen görüşürüz inşallah.
ham,Yarın tatil yürüyüşe çıkalım mı sabah?
ham,tatlım işim var o saatte tam
spam,Yeni Turkcell avantaj paketleriyle yurtdisinda da rahat rahat konusabilirsiniz.Ihtiyaciniza gore sadece 15TLye gunluk 30dk yada 49TLye 1ay boyunca 90dklik konusma paketlerinden size uygun olani almak icin yurtdisina cikmadan mutlaka arayin.4440532
spam,Vestel'de CardFinans'a ozel 1200 TL ve uzeri alisverisinize Vestel kahvalti seti hediye! Ustelik 2-4 taksit arasinda +8 taksit firsatiyla. www.cardfinans.com.tr
spam,VakifBank Worldcard inizla yeniden yapilandirma kanunu kapsaminda vergilerinizi gib.gov.tr den 18 taksitle odeyebilirsiniz.Ustelik taksitler 2 ayda bir odemeli.
ham,Hangover dayız gel
ham,Bu sefer eminim :)
ham,hiç canim istemiyo
ham,Odanda msn beybm:p
spam,FATURASIZDA HERSEY DAHIL PAKET ILK DEFA TURKCELLDE!HER YONE 200 DK.100 SMS.100MB internet AYDA sadece 20TL!Numaranizi tasimak icin Turkcell noktalarina bekliyoruz
spam,KIGILI DA BEKLENEN BUYUK INDIRIM BUGUN BASLADI! THSIRT 29TL. PANT 39TL. GOMLEK 39TL. MONT 99TL. TKM ELB 199 TL URUNLER TUKENMEDEN GERCEK FIRSATI YAKALAYIN!
ham,kız denizci mi oldun? ama yakışmış...
ham,Kitabı bitirdim çok iyiydi sana da tavsiye ederim.
ham,VakifBank WebSubem girisi icin tek kullanimlik sifreniz: 743109 . Sifreniz 3 dk gecerlidir. Tarih: 24.06.2011 Saat: 10:29
spam,YARIN(20 OCAK) VICHY-LA ROCHE UZMANININ ECZANEMIZDE YAPACAGI UCRETSIZ CILT VE SAC ANALIZ GUNUNE DAVETLISINIZ..BU OZEL GUNU KACIRMAYIN...3209693
spam,1880TL Deneme Bonusu Kazandin! Cekimin Olsa Dahi Kayip Bonus! %15 Cevrimsiz Casino Yatirim Bonusu! Havale Alt Limit 250TL! www.hepbet121.com
spam,Annelerin en guzeline en ozel hediye SABRI OZELden %25 INDIRIM FIRSATIYLA.6-15 MAYIS tarihleri arasi YENI SEZON BAYAN urunlerinde gecerli FIRSATI KACIRMAYIN.
ham,gamigami ben hazırım.sende hazırsan cıkalım bi an önce yoksa geç kalacaz...
